feature,importance
cat__customerID_0748-RDGGM,0.00015708408234277576
cat__customerID_8624-GIOUT,0.0001558950474126407
cat__customerID_8079-XRJRS,0.00015586255044738458
cat__customerID_4488-PSYCG,0.00015508345844261726
cat__customerID_6386-SZZKH,0.0001549537885890141
cat__customerID_5577-OTWWW,0.00015375372476821256
cat__customerID_6289-CPNLD,0.000153341635674932
cat__customerID_2834-JRTUA,0.00015316470008626168
cat__customerID_5089-IFSDP,0.00015278920623205768
cat__customerID_2223-KAGMX,0.00015276089042062682
cat__customerID_6302-JGYRJ,0.00015246501766857048
cat__customerID_2889-FPWRM,0.00015229483122068032
cat__customerID_5013-SBUIH,0.00015211802532154808
cat__customerID_3104-OWCGK,0.0001509308924838527
cat__customerID_7614-QVWQL,0.00015073978940239655
cat__customerID_7055-VKGDA,0.00015038758619224859
cat__customerID_9259-PACGQ,0.00015035379158194945
cat__customerID_5440-FLBQG,0.00014906749867605145
cat__customerID_3097-FQTVJ,0.00014895457211539623
cat__customerID_0193-ESZXP,0.0001487953240988741
cat__customerID_3863-IUBJR,0.00014866229989033612
cat__customerID_7812-FZHPE,0.00014774715937213812
cat__customerID_5995-OIGLP,0.00014673911636761948
cat__customerID_0917-EZOLA,0.00014619772036431763
cat__customerID_8199-ZLLSA,0.0001461489008847004
cat__customerID_1322-AGOQM,0.0001461290522507282
cat__customerID_1383-EZRWL,0.00014564185272307155
cat__customerID_5876-HZVZM,0.00014560669928827247
cat__customerID_2530-ENDWQ,0.00014547540927032368
cat__customerID_6305-YLBMM,0.000145419107539357
cat__customerID_6214-EDAKZ,0.00014331374095821197
cat__customerID_1265-XTECC,0.0001428079403129905
cat__customerID_4083-EUGRJ,0.00014248601282088795
cat__customerID_1585-MQSSU,0.00014217122000595287
cat__customerID_8809-RIHDD,0.0001411298931005722
cat__customerID_0031-PVLZI,0.00014101496945932856
cat__customerID_9651-GTSAQ,0.00014088533615876512
cat__customerID_5202-IVJNU,0.0001402795862596047
cat__customerID_1009-IRMNA,0.00014018470924946025
cat__customerID_2332-EFBJY,0.00013998613658546913
cat__customerID_7845-URHJN,0.00013986840032116708
cat__customerID_4903-UYAVB,0.00013967974561368551
cat__customerID_9249-FXSCK,0.00013935585724724338
cat__customerID_0278-YXOOG,0.00013919370449545193
cat__customerID_2858-MOFSQ,0.00013905320678179138
cat__customerID_4140-WJAWW,0.00013867873045925218
cat__customerID_1447-PJGGA,0.00013839675466242543
cat__customerID_7632-MNYOY,0.00013791542042886643
cat__customerID_6804-GDMOI,0.0001374707379099693
cat__customerID_1208-DNHLN,0.00013712596566393
cat__customerID_9863-JZAIC,0.00013670691427013237
cat__customerID_2794-XIMMO,0.00013646516795821553
cat__customerID_3285-UCQVC,0.00013633201968324694
cat__customerID_7136-RVDTZ,0.0001358678437659666
cat__customerID_4895-TMWIR,0.00013577168477761086
cat__customerID_5616-PRTNT,0.00013541184991660812
cat__customerID_3948-XHGNA,0.0001347261936939957
cat__customerID_5687-DKDTV,0.00013283426684258028
cat__customerID_0137-UDEUO,0.00013192997157721024
cat__customerID_2359-QWQUL,0.0001317155097603397
cat__customerID_7721-JXEAW,0.00013117667009842975
cat__customerID_8976-OQHGT,0.0001310416560326838
cat__customerID_6769-DCQLI,0.00013086264110463572
cat__customerID_9101-BWFSS,0.00013059363261923513
cat__customerID_2237-ZFSMY,0.00013055661585888387
cat__customerID_5766-XQXMQ,0.00013004019309539676
cat__customerID_8627-EHGIP,0.00012964965284185064
cat__customerID_2722-VOJQL,0.0001295535022753289
cat__customerID_7639-SUPCW,0.00012925383793010832
cat__customerID_8634-CILSZ,0.00012915401476182387
cat__customerID_8563-IIOXK,0.00012911771118074116
cat__customerID_8182-PNAGI,0.00012879356414260225
cat__customerID_8441-SHIPE,0.00012866794462191845
cat__customerID_3803-KMQFW,0.00012822529116596085
cat__customerID_6849-WLEYG,0.00012782324999390345
cat__customerID_5510-BOIUJ,0.00012711032834668122
cat__customerID_5688-KZTSN,0.00012681224930281712
cat__customerID_4760-XOHVN,0.0001266770972573057
cat__customerID_3506-LCJDC,0.00012637619144857163
cat__customerID_7619-ODSGN,0.0001262691863075754
cat__customerID_1502-XFCVR,0.00012604088944736597
cat__customerID_5515-IDEJJ,0.00012591843658474794
cat__customerID_4250-FDVOU,0.000125698285718013
cat__customerID_4187-CINZD,0.00012569799676777864
cat__customerID_5174-RNGBH,0.0001256885157596684
cat__customerID_8785-EPNCG,0.00012539917630658958
cat__customerID_7083-YNSKY,0.0001251773242254864
cat__customerID_4800-CZMPC,0.0001248611329687767
cat__customerID_9831-BPFRI,0.00012458310696679886
cat__customerID_6158-DWPZT,0.00012450929302678334
cat__customerID_8292-TYSPY,0.00012432349076987387
cat__customerID_6849-OYAMU,0.0001243157398756911
cat__customerID_7776-QWNFX,0.00012361544880797515
cat__customerID_1732-VHUBQ,0.00012345144023175552
cat__customerID_0516-WJVXC,0.00012344528391719585
cat__customerID_3190-XFANI,0.0001230639568454704
